S/N,Category,Question/Article,Answer,Removed,URL,https://help.fairprice.com.sg/hc/en-us/sections/360002889391-Top-FAQs-for-FairPrice-Online
,,How much is the delivery fee?,"Our delivery charges are as follows:

Order Value (SGD)

 Delivery Charge (SGD)

$79 and above

 Delivery charge waived**   

Between $59 to $79*

  $3.00

Below $59

  $5.00

Where order has more than 600 items      

   $26.75

 At times, you may also see a fee attached to a certain delivery time slot during peak periods. 

*Excluding delivery charges. Charges are inclusive of GST and calculated after discounts.

 

**We have lowered our online free delivery minimum spend to $59 from now till 31 December! Click here for the full details.

",,,
,,How much I have to pay for delivery?,"Our delivery charges are as follows:

Order Value (SGD)

 Delivery Charge (SGD)

$79 and above

 Delivery charge waived**   

Between $59 to $79*

  $3.00

Below $59

  $5.00

Where order has more than 600 items      

   $26.75

 At times, you may also see a fee attached to a certain delivery time slot during peak periods. 

*Excluding delivery charges. Charges are inclusive of GST and calculated after discounts.

 

**We have lowered our online free delivery minimum spend to $59 from now till 31 December! Click here for the full details.

",,,
96,Delivery,"I received an email that some items are not available. As I have paid via credit card, how will refund be made for unavailable items?","We apologise for the order amendment. 

Rest assured that you will not be charged for unavailable items. When you first placed the order, your bank holds the amount until the transaction is completed. This holding amount will not be charged to your card.

The final amount charged will be lesser than the holding amount and in accordance to the final invoice.",,,
,,email regarding items out of stock and I paid through credit card,"We apologise for the order amendment. 

Rest assured that you will not be charged for unavailable items. When you first placed the order, your bank holds the amount until the transaction is completed. This holding amount will not be charged to your card.

The final amount charged will be lesser than the holding amount and in accordance to the final invoice.",,,
97,Delivery,What should I do if I missed my delivery?,"To arrange for another delivery, please reach out to Customer Service via the web form.

Please note that there will be an additional delivery charge of $7 (inclusive of GST) imposed for normal orders and $30 (inclusive of GST) imposed for bulk orders for the next delivery attempt.","To arrange for another delivery, please call our Customer Service Hotline at 6380 5858 or inform us of the redelivery date here.

Please note that there will be an additional delivery charge of $7 (inclusive of GST) imposed for normal orders and $30 (inclusive of GST) imposed for bulk orders for the next delivery attempt.",https://help.fairprice.com.sg/hc/en-us/requests/new,
,,Please arrange another delivery for me,"To arrange for another delivery, please reach out to Customer Service via the web form.

Please note that there will be an additional delivery charge of $7 (inclusive of GST) imposed for normal orders and $30 (inclusive of GST) imposed for bulk orders for the next delivery attempt.",,,
,,couldn't receive my delivery when it arrived,"To arrange for another delivery, please reach out to Customer Service via the web form.

Please note that there will be an additional delivery charge of $7 (inclusive of GST) imposed for normal orders and $30 (inclusive of GST) imposed for bulk orders for the next delivery attempt.",,,
98,Delivery,Can the drivers call me when they are arriving?,"Sorry, in order to avoid disruptions or accidents, our drivers avoid making calls while out on the road.",,,
,,Please ask the driver to contact me before arriving,"Sorry, in order to avoid disruptions or accidents, our drivers avoid making calls while out on the road.",,,
,,ask the driver to touch base with me before coming,"Sorry, in order to avoid disruptions or accidents, our drivers avoid making calls while out on the road.",,,
99,Delivery,Why do your drivers only deliver to the front doorstep?,"In order to ensure the privacy of our customers, we can only deliver to the front doorstep. Thank you for your understanding.",,,
,,How your driver will drop the item at my place?,"In order to ensure the privacy of our customers, we can only deliver to the front doorstep. Thank you for your understanding.",,,
100,Delivery,Can my order be left at the guardhouse or concierge?,"Please arrange with your guardhouse or concierge to accept the order on your behalf. If they don't accept it, there will be a redelivery charge of $7 (inclusive of GST). 

",,,
,,Please leave my order at guardhouse or concierge,"Please arrange with your guardhouse or concierge to accept the order on your behalf. If they don't accept it, there will be a redelivery charge of $7 (inclusive of GST). 

",,,
,,handover my order at guardhouse or concierge,"Please arrange with your guardhouse or concierge to accept the order on your behalf. If they don't accept it, there will be a redelivery charge of $7 (inclusive of GST). 
",,,
,,delivery at guardhouse or concierge,"Please arrange with your guardhouse or concierge to accept the order on your behalf. If they don't accept it, there will be a redelivery charge of $7 (inclusive of GST). 

",,,
101,Delivery,I placed an order on FairPrice Online and my delivery has not arrived. What should I do?,"Our apologies. At times, the driver may be delayed by traffic conditions. If you haven't received your order within the confirmed delivery timeslot, please call our Customer Service Hotline at 6380 5858 or submit your feedback via the webform. We can assist to reschedule your delivery. ",,,
,,I still did not receive my online order,"Our apologies. At times, the driver may be delayed by traffic conditions. If you haven't received your order within the confirmed delivery timeslot, please call our Customer Service Hotline at 6380 5858 or submit your feedback via the webform. We can assist to reschedule your delivery. ",,,
,,delay in online order delivery,"Our apologies. At times, the driver may be delayed by traffic conditions. If you haven't received your order within the confirmed delivery timeslot, please call our Customer Service Hotline at 6380 5858 or submit your feedback via the webform. We can assist to reschedule your delivery. ",,,
,,why my order has not arrived yet,"Our apologies. At times, the driver may be delayed by traffic conditions. If you haven't received your order within the confirmed delivery timeslot, please call our Customer Service Hotline at 6380 5858 or submit your feedback via the webform. We can assist to reschedule your delivery. ",,,
,,my order should be here by now,"Our apologies. At times, the driver may be delayed by traffic conditions. If you haven't received your order within the confirmed delivery timeslot, please call our Customer Service Hotline at 6380 5858 or submit your feedback via the webform. We can assist to reschedule your delivery. ",,,
102,Delivery,How are my items packaged for delivery?,"Items are packed separately according to grocery type, preventing contamination and to minimise damage.

Prior to delivery, chilled, frozen and fresh items are placed in our warehouse’s chillers/freezers. They are immediately transported to cooler boxes in the delivery vehicle. This ensures that we maintain the freshness of our products even during the delivery process.",,,
,,How my items are packed before delivering?,"Items are packed separately according to grocery type, preventing contamination and to minimise damage.

Prior to delivery, chilled, frozen and fresh items are placed in our warehouse’s chillers/freezers. They are immediately transported to cooler boxes in the delivery vehicle. This ensures that we maintain the freshness of our products even during the delivery process.",,,
,,I am bit concerned with packing of my items,"Items are packed separately according to grocery type, preventing contamination and to minimise damage.

Prior to delivery, chilled, frozen and fresh items are placed in our warehouse’s chillers/freezers. They are immediately transported to cooler boxes in the delivery vehicle. This ensures that we maintain the freshness of our products even during the delivery process.",,,
,,Please properly pack my items ,"Items are packed separately according to grocery type, preventing contamination and to minimise damage.

Prior to delivery, chilled, frozen and fresh items are placed in our warehouse’s chillers/freezers. They are immediately transported to cooler boxes in the delivery vehicle. This ensures that we maintain the freshness of our products even during the delivery process.",,,
103,Delivery,Why am I unable to choose next day delivery for my Bulk Order?,"Bulk Orders require 3 working days to process, hence the earliest delivery is three days from the day you placed your order.",,,
,,No next day delivery for Bulk order,"Bulk Orders require 3 working days to process, hence the earliest delivery is three days from the day you placed your order.",,,
,,Bulk order delivery time,"Bulk Orders require 3 working days to process, hence the earliest delivery is three days from the day you placed your order.",,,
,,Can my bulk items be reached next day,"Bulk Orders require 3 working days to process, hence the earliest delivery is three days from the day you placed your order.",,,
104,Support,What is FairPrice Online's return/refund policy?,"For wrongly purchased items of up to $200 paid by credit card, you may return and request for a refund at any FairPrice Store (except FairPrice Shop, FairPrice Express and Cheers). Items must be in their original packaging with proof of purchase, returned within 7 days of the date you received them. For items above $200 or orders that are not paid by credit card, please submit your request via the webform.

For defective or unsatisfactory items, please send us photos of the defect within 7 days of delivery (3 days for fresh items) via the webform. If approved after review, a refund will be made to your credit card or we will provide instructions to return the items and collect a refund at your nearest store.",,,
,,How to get a refund?,"For wrongly purchased items of up to $200 paid by credit card, you may return and request for a refund at any FairPrice Store (except FairPrice Shop, FairPrice Express and Cheers). Items must be in their original packaging with proof of purchase, returned within 7 days of the date you received them. For items above $200 or orders that are not paid by credit card, please submit your request via the webform.

For defective or unsatisfactory items, please send us photos of the defect within 7 days of delivery (3 days for fresh items) via the webform. If approved after review, a refund will be made to your credit card or we will provide instructions to return the items and collect a refund at your nearest store.",,,
,,I want a refund,"For wrongly purchased items of up to $200 paid by credit card, you may return and request for a refund at any FairPrice Store (except FairPrice Shop, FairPrice Express and Cheers). Items must be in their original packaging with proof of purchase, returned within 7 days of the date you received them. For items above $200 or orders that are not paid by credit card, please submit your request via the webform.

For defective or unsatisfactory items, please send us photos of the defect within 7 days of delivery (3 days for fresh items) via the webform. If approved after review, a refund will be made to your credit card or we will provide instructions to return the items and collect a refund at your nearest store.",,,
,,Please refund my order,"For wrongly purchased items of up to $200 paid by credit card, you may return and request for a refund at any FairPrice Store (except FairPrice Shop, FairPrice Express and Cheers). Items must be in their original packaging with proof of purchase, returned within 7 days of the date you received them. For items above $200 or orders that are not paid by credit card, please submit your request via the webform.

For defective or unsatisfactory items, please send us photos of the defect within 7 days of delivery (3 days for fresh items) via the webform. If approved after review, a refund will be made to your credit card or we will provide instructions to return the items and collect a refund at your nearest store.",,,
105,Support,When will I receive the refund?,"We will reimburse the amount of your purchase in the same mode of payment that you used. The refund will be reflected either in your credit card statement, depending on the bank's billing cycle. For refund in stores, the refund amount will be given in cash.

",,https://go.fpg.sg/FPchat,
,,how long it will take for my refund,"We will reimburse the amount of your purchase in the same mode of payment that you used. The refund will be reflected either in your credit card statement, depending on the bank's billing cycle. For refund in stores, the refund amount will be given in cash.

",,,
,,How many days it will take to get my refund ,"We will reimburse the amount of your purchase in the same mode of payment that you used. The refund will be reflected either in your credit card statement, depending on the bank's billing cycle. For refund in stores, the refund amount will be given in cash.

",,,
106,Support,Can my refund be made in FairPrice vouchers?,Sorry. We can't make refunds in FairPrice vouchers,,,
,,refund in terms of FairPrice vouchers,Sorry. We can't make refunds in FairPrice vouchers,,,
107,Support,My credit card is no longer in use. How can I receive the refund?,"We can have the refund made to another credit card that you have used for past purchases. Otherwise, we will do a cheque refund.
",,https://go.fpg.sg/FPchat,
,,"My Credit Card is not active anymore, how I'll get refund","We can have the refund made to another credit card that you have used for past purchases. Otherwise, we will do a cheque refund.

",,,
,,refund to another Credit Card,"We can have the refund made to another credit card that you have used for past purchases. Otherwise, we will do a cheque refund.

",,,
108,Support,What are your FairPrice Customer Service Hotline operating hours?,"Our FairPrice Customer Service Hotline: 6380 5858.

We are operating from : 8.30am- 10.00pm (Mondays - Sundays, including Public Holidays).",,,
,,How to reach Customer Service ,"Our FairPrice Customer Service Hotline: 6380 5858.

We are operating from : 8.30am- 10.00pm (Mondays - Sundays, including Public Holidays).",,,
,,timing for Customer Service,"Our FairPrice Customer Service Hotline: 6380 5858.

We are operating from : 8.30am- 10.00pm (Mondays - Sundays, including Public Holidays).",,,
109,Support,How long will you take to reply my email?,"It will take 1-2 days for our customer service staff to reply to your queries. During festive seasons, the response time may be slightly longer. We appreciate your patience.",,,
,,I just sent an email but haven't received a response,"It will take 1-2 days for our customer service staff to reply to your queries. During festive seasons, the response time may be slightly longer. We appreciate your patience.",,,
,,When can I expect a reply to my email?,"It will take 1-2 days for our customer service staff to reply to your queries. During festive seasons, the response time may be slightly longer. We appreciate your patience.",,,
,,Please reply my email,"It will take 1-2 days for our customer service staff to reply to your queries. During festive seasons, the response time may be slightly longer. We appreciate your patience.",,,
,,Why you no reply my email?,"It will take 1-2 days for our customer service staff to reply to your queries. During festive seasons, the response time may be slightly longer. We appreciate your patience.",,,
110,Support,How much rebates can I receive?,"Rebates are determined at the Co-operative’s Annual General Meeting and paid annually. The amounts are based on the member's purchases made during the last financial year (1 Jan to 31 Dec), up to a maximum purchase of $6,000 per annum.

 ",,,
,,How much is my rebate?,"Rebates are determined at the Co-operative’s Annual General Meeting and paid annually. The amounts are based on the member's purchases made during the last financial year (1 Jan to 31 Dec), up to a maximum purchase of $6,000 per annum.

 ",,,
,,How to calculate rebate?,"Rebates are determined at the Co-operative’s Annual General Meeting and paid annually. The amounts are based on the member's purchases made during the last financial year (1 Jan to 31 Dec), up to a maximum purchase of $6,000 per annum.

 ",,,
,,Where to check my rebate amount?,"Rebates are determined at the Co-operative’s Annual General Meeting and paid annually. The amounts are based on the member's purchases made during the last financial year (1 Jan to 31 Dec), up to a maximum purchase of $6,000 per annum.

 ",,,
